date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:37:33	52377/52377	---M-Z	200	added ('OK')	text/html	etag:W/%22639abb87-cc99%22	https://themewagon.github.io/flameonepage/	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/themewagon.github.io/flameonepage/index.html	(from )
22:37:33	5142/5142	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2265020b3f-239b%22	https://themewagon.github.io/robots.txt		(from )
22:37:34	21658/21658	---MCZ	200	added ('OK')	text/css	date:Mon,%2025%20Jan%202021%2022:04:53%20GMT	http://netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/netdna.bootstrapcdn.com/font-awesome/4.0.3/css/font-awesome.css	(from https://themewagon.github.io/flameonepage/)
22:37:34	9561/9561	---M-Z	200	added ('OK')	text/css	etag:W/%22639abb87-2559%22	https://themewagon.github.io/flameonepage/vendor/simple-line-icons/simple-line-icons.min.css	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/themewagon.github.io/flameonepage/vendor/simple-line-icons/simple-line-icons.min.css	(from https://themewagon.github.io/flameonepage/)
22:37:34	121260/121260	---M-Z	200	added ('OK')	text/css	etag:W/%22639abb87-1d9ac%22	https://themewagon.github.io/flameonepage/vendor/bootstrap/css/bootstrap.min.css	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/themewagon.github.io/flameonepage/vendor/bootstrap/css/bootstrap.min.css	(from https://themewagon.github.io/flameonepage/)
22:37:34	71089/71089	---M-Z	200	added ('OK')	text/css	etag:W/%22639abb87-115b1%22	https://themewagon.github.io/flameonepage/css/animate.css	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/themewagon.github.io/flameonepage/css/animate.css	(from https://themewagon.github.io/flameonepage/)
22:37:35	17216/17216	---M-Z	200	added ('OK')	text/css	etag:W/%22639abb87-4340%22	https://themewagon.github.io/flameonepage/vendor/swiper/css/swiper.min.css	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/themewagon.github.io/flameonepage/vendor/swiper/css/swiper.min.css	(from https://themewagon.github.io/flameonepage/)
22:37:35	20819/20819	---M-Z	200	added ('OK')	text/css	etag:W/%22639abb87-5153%22	https://themewagon.github.io/flameonepage/css/layout.min.css	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/themewagon.github.io/flameonepage/css/layout.min.css	(from https://themewagon.github.io/flameonepage/)
22:37:35	9379/9379	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%2264ef53de-24a3%22	https://themewagon.github.io/flameonepage/favicon.ico	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/themewagon.github.io/flameonepage/favicon.ico	(from https://themewagon.github.io/flameonepage/)
22:37:35	3470/3470	---M--	200	added ('OK')	image/png	etag:%22639abb87-d8e%22	https://themewagon.github.io/flameonepage/img/logo.png	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/themewagon.github.io/flameonepage/img/logo.png	(from https://themewagon.github.io/flameonepage/)
22:37:36	3479/3479	---M--	200	added ('OK')	image/png	etag:%22639abb87-d97%22	https://themewagon.github.io/flameonepage/img/logo-dark.png	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/themewagon.github.io/flameonepage/img/logo-dark.png	(from https://themewagon.github.io/flameonepage/)
22:37:36	312735/312735	---M--	200	added ('OK')	image/jpeg	etag:%22639abb87-4c59f%22	https://themewagon.github.io/flameonepage/img/1920x1080/01.jpg	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/themewagon.github.io/flameonepage/img/1920x1080/01.jpg	(from https://themewagon.github.io/flameonepage/)
22:37:37	70593/70593	---M--	200	added ('OK')	image/jpeg	etag:%22639abb87-113c1%22	https://themewagon.github.io/flameonepage/img/500x500/01.jpg	C:/Users/Hisyam%20Maulana/Downloads/bangrey1933/themewagon.github.io/flameonepage/img/500x500/01.jpg	(from https://themewagon.github.io/flameonepage/)
